         1187194 function calls (1168088 primitive calls) in 7.779 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       52    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 Dialog.py:12(Dialog)
        1    0.000    0.000    0.000    0.000 Dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 FileDialog.py:21(FileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:220(LoadFileDialog)
        1    0.000    0.000    0.000    0.000 FileDialog.py:234(SaveFileDialog)
        1    0.001    0.001    0.001    0.001 FileDialog.py:9(<module>)
        1    0.007    0.007    0.009    0.009 FixTk.py:1(<module>)
        1    0.000    0.000    0.001    0.001 FixTk.py:21(convert_path)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1021(_getints)
       22    0.000    0.000    0.000    0.000 Tkinter.py:1040(_options)
        2    0.000    0.000    0.000    0.000 Tkinter.py:1066(nametowidget)
       24    0.000    0.000    0.000    0.000 Tkinter.py:1083(_register)
        2    0.000    0.000    0.000    0.000 Tkinter.py:1105(_root)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1114(_substitute)
       11    0.000    0.000    0.000    0.000 Tkinter.py:1120(getint_event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1397(CallWrapper)
       24    0.000    0.000    0.000    0.000 Tkinter.py:1400(__init__)
        2    0.000    0.000    0.079    0.040 Tkinter.py:1405(__call__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1417(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1438(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1459(Wm)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1516(wm_deiconify)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1598(wm_minsize)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1618(wm_protocol)
        1    0.000    0.000    0.000    0.000 Tkinter.py:162(Variable)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1645(wm_title)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1654(wm_withdraw)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1661(Tk)
        1    0.000    0.000    0.060    0.060 Tkinter.py:1665(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:168(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1693(_loadtk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1733(readprofile)
        8    0.000    0.000    0.000    0.000 Tkinter.py:1762(__getattr__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1784(Pack)
       10    0.000    0.000    0.000    0.000 Tkinter.py:1788(pack_configure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1829(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1879(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1932(BaseWidget)
       10    0.000    0.000    0.000    0.000 Tkinter.py:1934(_setup)
        1    0.000    0.000    0.000    0.000 Tkinter.py:195(__str__)
       10    0.000    0.000    0.003    0.000 Tkinter.py:1959(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:198(set)
